fold,seed,group,policy,target_budget,rows,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,corrected_C,introduced_D,C_minus_D,effective_budget
0,42,benign:Weibo,probability_only_gain,1.5,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.5
0,42,malware:Virut,probability_only_gain,1.5,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.5
0,42,benign:Weibo,post_first_temporal_gain,1.5,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.5
0,42,malware:Virut,post_first_temporal_gain,1.5,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.5
0,42,benign:Weibo,first_temporal,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
0,42,malware:Virut,first_temporal,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.0
0,42,benign:Weibo,first_stats,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
0,42,malware:Virut,first_stats,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.0
0,42,benign:Weibo,all_average,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
0,42,malware:Virut,all_average,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,2.0
0,42,benign:Weibo,confidence_budget,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
0,42,malware:Virut,confidence_budget,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,2.0
0,42,benign:Weibo,hashrandom_budget,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
0,42,malware:Virut,hashrandom_budget,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,2.0
0,42,benign:Weibo,probability_only_gain,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
0,42,malware:Virut,probability_only_gain,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,2.0
0,42,benign:Weibo,post_first_temporal_gain,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
0,42,malware:Virut,post_first_temporal_gain,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,2.0
0,42,benign:Weibo,positive_gain_no_call,,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.4995
0,42,malware:Virut,positive_gain_no_call,,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.4995
0,42,benign:Weibo,post_first_temporal_positive_gain_no_call,,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.9689999999999999
0,42,malware:Virut,post_first_temporal_positive_gain_no_call,,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.9689999999999999
1,42,benign:MySQL,first_temporal,1.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
1,42,malware:Neris,first_temporal,1.0,2000,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,1.0
1,42,benign:MySQL,first_stats,1.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
1,42,malware:Neris,first_stats,1.0,2000,0.49328604003040283,0.9735,0.0,0,0,53,1947,2,45,-43,1.0
1,42,benign:MySQL,all_average,1.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
1,42,malware:Neris,all_average,1.0,2000,0.49849548645937813,0.994,0.0,0,0,12,1988,2,4,-2,2.0
1,42,benign:MySQL,confidence_budget,1.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
1,42,malware:Neris,confidence_budget,1.0,2000,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,1.0
1,42,benign:MySQL,hashrandom_budget,1.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
1,42,malware:Neris,hashrandom_budget,1.0,2000,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,1.0
1,42,benign:MySQL,probability_only_gain,1.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
1,42,malware:Neris,probability_only_gain,1.0,2000,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,1.0
1,42,benign:MySQL,post_first_temporal_gain,1.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
1,42,malware:Neris,post_first_temporal_gain,1.0,2000,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,1.0
1,42,benign:MySQL,first_temporal,1.1,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
1,42,malware:Neris,first_temporal,1.1,2000,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,1.0
1,42,benign:MySQL,first_stats,1.1,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
1,42,malware:Neris,first_stats,1.1,2000,0.49328604003040283,0.9735,0.0,0,0,53,1947,2,45,-43,1.0
1,42,benign:MySQL,all_average,1.1,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
1,42,malware:Neris,all_average,1.1,2000,0.49849548645937813,0.994,0.0,0,0,12,1988,2,4,-2,2.0
1,42,benign:MySQL,confidence_budget,1.1,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.1
1,42,malware:Neris,confidence_budget,1.1,2000,0.49849548645937813,0.994,0.0,0,0,12,1988,2,4,-2,1.1
1,42,benign:MySQL,hashrandom_budget,1.1,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.1
1,42,malware:Neris,hashrandom_budget,1.1,2000,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,1.1
1,42,benign:MySQL,probability_only_gain,1.1,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.1
1,42,malware:Neris,probability_only_gain,1.1,2000,0.49874686716791977,0.995,0.0,0,0,10,1990,2,2,0,1.1
1,42,benign:MySQL,post_first_temporal_gain,1.1,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.1
1,42,malware:Neris,post_first_temporal_gain,1.1,2000,0.49849548645937813,0.994,0.0,0,0,12,1988,2,4,-2,1.1
1,42,benign:MySQL,first_temporal,1.25,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
1,42,malware:Neris,first_temporal,1.25,2000,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,1.0
1,42,benign:MySQL,first_stats,1.25,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
1,42,malware:Neris,first_stats,1.25,2000,0.49328604003040283,0.9735,0.0,0,0,53,1947,2,45,-43,1.0
1,42,benign:MySQL,all_average,1.25,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
1,42,malware:Neris,all_average,1.25,2000,0.49849548645937813,0.994,0.0,0,0,12,1988,2,4,-2,2.0
1,42,benign:MySQL,confidence_budget,1.25,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.25
1,42,malware:Neris,confidence_budget,1.25,2000,0.49849548645937813,0.994,0.0,0,0,12,1988,2,4,-2,1.25
1,42,benign:MySQL,hashrandom_budget,1.25,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.25
1,42,malware:Neris,hashrandom_budget,1.25,2000,0.49849548645937813,0.994,0.0,0,0,12,1988,0,2,-2,1.25
1,42,benign:MySQL,probability_only_gain,1.25,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.25
1,42,malware:Neris,probability_only_gain,1.25,2000,0.49874686716791977,0.995,0.0,0,0,10,1990,2,2,0,1.25
1,42,benign:MySQL,post_first_temporal_gain,1.25,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.25
1,42,malware:Neris,post_first_temporal_gain,1.25,2000,0.49849548645937813,0.994,0.0,0,0,12,1988,2,4,-2,1.25
