fold_id,method,candidate,switches,tn,fp,fn,tp,macro_f1,malicious_recall,false_positive_rate,parameter0,parameter1,feasible,optimal,selected
3,Fixed-Dev16,9,70,346,1654,1,1999,0.5010397893634195,0.9995,0.827,1.0,0.5,True,True,False
3,Fixed-Dev16,10,70,346,1654,1,1999,0.5010397893634195,0.9995,0.827,1.0,1.0,True,True,False
3,Fixed-Dev16,11,70,346,1654,1,1999,0.5010397893634195,0.9995,0.827,1.0,no_switch,True,True,False
3,Fixed-Dev16,12,0,346,1654,71,1929,0.48866583356250737,0.9645,0.827,no_switch,0.25,True,False,False
3,Fixed-Dev16,13,0,346,1654,71,1929,0.48866583356250737,0.9645,0.827,no_switch,0.5,True,False,False
3,Fixed-Dev16,14,0,346,1654,71,1929,0.48866583356250737,0.9645,0.827,no_switch,1.0,True,False,False
3,Fixed-Dev16,15,0,346,1654,71,1929,0.48866583356250737,0.9645,0.827,no_switch,no_switch,True,False,False
3,Logistic-Global4,0,70,346,1654,1,1999,0.5010397893634195,0.9995,0.827,0.25,0.25,True,True,True
3,Logistic-Global4,5,70,346,1654,1,1999,0.5010397893634195,0.9995,0.827,0.5,0.5,True,True,False
3,Logistic-Global4,10,70,346,1654,1,1999,0.5010397893634195,0.9995,0.827,0.75,0.75,True,True,False
3,Logistic-Global4,15,0,346,1654,71,1929,0.48866583356250737,0.9645,0.827,1.01,1.01,True,False,False
3,HGB-Global4,0,70,346,1654,1,1999,0.5010397893634195,0.9995,0.827,0.25,0.25,True,True,True
3,HGB-Global4,5,70,346,1654,1,1999,0.5010397893634195,0.9995,0.827,0.5,0.5,True,True,False
3,HGB-Global4,10,70,346,1654,1,1999,0.5010397893634195,0.9995,0.827,0.75,0.75,True,True,False
3,HGB-Global4,15,0,346,1654,71,1929,0.48866583356250737,0.9645,0.827,1.01,1.01,True,False,False
4,Fixed-Dev16,0,1,2000,0,0,2000,1.0,1.0,0.0,0.25,0.25,True,True,True
4,Fixed-Dev16,1,1,2000,0,0,2000,1.0,1.0,0.0,0.25,0.5,True,True,False
4,Fixed-Dev16,2,1,2000,0,0,2000,1.0,1.0,0.0,0.25,1.0,True,True,False
4,Fixed-Dev16,3,1,2000,0,0,2000,1.0,1.0,0.0,0.25,no_switch,True,True,False
4,Fixed-Dev16,4,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,0.5,0.25,True,False,False
4,Fixed-Dev16,5,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,0.5,0.5,True,False,False
4,Fixed-Dev16,6,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,0.5,1.0,True,False,False
4,Fixed-Dev16,7,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,0.5,no_switch,True,False,False
4,Fixed-Dev16,8,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,1.0,0.25,True,False,False
4,Fixed-Dev16,9,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,1.0,0.5,True,False,False
4,Fixed-Dev16,10,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,1.0,1.0,True,False,False
